Id,Prediction
0,4219150.66495
1,4154823.79176
2,4304876.016
3,4237882.18644
4,4416879.98239
5,3996555.58042
6,4011619.56524
7,4924210.87335
8,3647956.97155
9,3234167.70706
10,3822732.11089
11,5095106.75396
12,3644283.84006
13,5750383.54283
14,2823391.64244
15,3638242.22613
16,4340392.97348
17,4190415.03936
18,4593729.35959
19,2559503.61807
20,3698156.17855
21,4507234.54322
22,4211233.16046
23,3328565.29922
24,4783581.8546
25,3575597.22589
26,3982661.26898
27,3894344.46014
28,5135440.98086
29,5563248.56002
30,4570110.4486
31,2850337.06717
32,4751877.81298
33,3952068.83217
34,3501322.321
35,3410815.90695
36,4399381.14482
37,3991974.28542
38,4108165.78678
39,4564509.20271
40,3328565.29922
41,3631967.21114
42,3974381.19905
43,4393958.55788
44,4490638.19771
45,5128875.52834
46,3913364.40201
47,3988495.94377
48,3881620.26342
49,3900014.72091
50,3047140.66746
51,5004321.09987
52,3501322.321
53,4116743.52347
54,3200525.71975
55,3732949.52223
56,4875027.45212
57,5067193.73247
58,4035680.95317
59,3900014.72091
60,3030203.17475
61,3162902.70573
62,4119346.39541
63,4052388.60703
64,3885272.66261
65,2559503.61807
66,3611005.50609
67,4309961.02383
68,4119346.39541
69,4083807.2626
70,3055363.1621
71,3234167.70706
72,3566883.19332
73,5267980.72495
74,4915374.27629
75,4715298.72312
76,3328565.29922
77,5157829.33282
78,4428247.85037
79,3642693.98832
80,4289620.76732
81,4080251.88392
82,3557885.13295
83,3635571.33837
84,4662644.7296
85,2753147.94345
86,3606960.90361
87,5349007.58597
88,3234167.70706
89,3819519.45462
90,3913481.77348
91,3660978.55267
92,2823391.64244
93,4595585.75592
94,3933104.58179
95,3877114.5656
96,4368657.98274
97,4731386.95291
98,3102125.59227
99,4060868.05687
100,3195403.80254
101,2753147.94345
102,4083807.2626
103,3952068.83217
104,2753147.94345
105,4209216.17046
106,3638242.22613
107,3853803.83338
108,3732949.52223
109,5157349.98441
110,5105593.87832
111,4119346.39541
112,4118280.48357
113,2823391.64244
114,4169945.77877
115,3950835.24625
116,4052388.60703
117,4664397.47374
118,4268350.09434
119,4634294.16986
120,4309961.02383
121,3611005.50609
122,3452776.12777
123,4540057.68137
124,3650824.15588
125,3894858.24943
126,4854940.60428
127,3452776.12777
128,4299970.89007
129,4011685.89663
130,2937614.70663
131,3947950.68965
132,4428142.02858
133,4096399.41597
134,3944741.32957
135,4320843.84072
136,3654255.51178
137,3792533.78085
138,4580066.55469
139,3210327.96906
140,4197763.40255
141,3990890.16246
142,4469814.05538
143,2850337.06717
144,4116743.52347
145,3928137.50502
146,3947950.68965
147,3698156.17855
148,3640221.84636
149,3443230.21416
150,4052388.60703
151,3234167.70706
152,4816805.61186
153,5279101.62268
154,2937614.70663
155,4283362.82632
156,4428247.85037
157,4258140.32781
158,3429774.58314
159,3952068.83217
160,3638242.22613
161,3120317.38752
162,3204099.40332
163,4232368.47999
164,4539262.07016
165,5267980.72495
166,3638242.22613
167,4591172.15333
168,3234167.70706
169,4488697.72022
170,4508336.54134
171,4075530.66598
172,2807103.65871
173,2753147.94345
174,4149719.79036
175,2850337.06717
176,4521580.22902
177,4798525.84112
178,2850337.06717
179,5059836.58607
180,4511117.10465
181,4178263.88226
182,4405502.35196
183,4119346.39541
184,4262325.38394
185,3982661.26898
186,3329410.93967
187,4384478.13885
188,4533982.77602
189,3654255.51178
190,4488697.72022
191,4363022.30478
192,3706617.79687
193,4745451.94984
194,2929390.4619
195,5267980.72495
196,2807103.65871
197,3958911.44863
198,4197763.40255
199,4232368.60918
200,4043464.87881
201,3972057.768
202,3968024.07715
203,2823391.64244
204,4202546.58763
205,4601261.79094
206,4196589.98046
207,3947737.8064
208,4541164.32393
209,3019651.72761
210,3938618.68658
211,5088801.90742
212,4413034.62936
213,4052388.60703
214,4517178.07058
215,3093083.21194
216,4403214.60071
217,4113059.44725
218,4491908.5032
219,3982661.26898
220,4842740.07369
221,3944741.32957
222,4198879.69201
223,4164377.09251
224,3968024.07715
225,4801035.10173
226,5349007.58597
227,4630751.46563
228,3452776.12777
229,5209385.80531
230,3639273.48872
231,5185127.75379
232,3938618.68658
233,3234167.70706
234,4052388.60703
235,3631967.21114
236,3660978.55267
237,3152279.97516
238,3765407.05659
239,4691892.92888
240,3635571.33837
241,3575597.22589
242,4119887.90019
243,3981800.71065
244,4667443.53859
245,5293487.05609
246,4431143.66985
247,4418899.59381
248,3804397.91758
249,5100975.71202
250,3077713.15257
251,3640221.84636
252,4416724.66988
253,4294471.39191
254,3650824.15588
255,3757464.11224
256,2850337.06717
257,5014950.76095
258,2850337.06717
259,3952068.83217
260,4211233.16046
261,4574072.52889
262,5077028.67896
263,5183209.74045
264,2937614.70663
265,3643450.95963
266,4393958.55788
267,4316010.88945
268,2807103.65871
269,4074703.7362
270,3200525.71975
271,2823391.64244
272,4118909.42408
273,3638242.22613
274,4508336.54134
275,3968024.07715
276,6236288.41614
277,3974381.19905
278,3706617.79687
279,3933208.41532
280,3900014.72091
281,5014654.19816
282,3952068.83217
283,3575597.22589
284,4200683.99507
285,2850337.06717
286,4175638.85254
287,3638491.43671
288,4569223.6063
289,4030184.48446
290,3218189.69229
291,5444985.51114
292,3877496.89437
293,4731386.95291
294,2864529.23126
295,4666709.56096
296,2850337.06717
297,5103959.49658
298,5267980.72495
299,4698116.53058
300,4368796.16436
301,4368799.8726
302,5315316.36802
303,5113245.00758
304,4200683.99507
305,4284336.77957
306,4116743.52347
307,5528207.92577
308,2856509.599
309,3952068.83217
310,3968024.07715
311,2850337.06717
312,5042631.52265
313,4262325.38394
314,3904477.30827
315,4385723.30925
316,3234167.70706
317,5474943.53609
318,4490638.19771
319,4312983.19439
320,3150207.45799
321,4440238.93456
322,3706617.79687
323,4018933.71699
324,3938618.68658
325,4446848.77827
326,3645531.30019
327,3819519.45462
